region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
ekb,"Свердловская область, Екатеринбург, жилой район Южный, жилой комплекс Исеть Парк, 6",6702402,45.4,14.7,20.7,2,2,24,empty,0,2025,monolith,open,empty,empty,60.64114022090054,56.80454347263911,4,4,"Ботаническая,Чкаловская,Геологическая","14,3,5","walk,transport,transport",Октябрьский,0,0
ekb,"Россия, Свердловская область, Екатеринбург, улица Уральских Рабочих, 16",5500000,60.5,7.0,41.5,3,1,10,1987,empty,empty,block,ground,empty,empty,60.605371,56.893913,2,1,"Уралмаш,Проспект Космонавтов,Машиностроителей","8,13,4","walk,walk,transport","Уралмаш,Орджоникидзевский",0,1
ekb,"Свердловская область, Екатеринбург, улица Большакова",9681000,37.4,15.5,12.3,1,6,24,empty,0,2024,monolithBrick,empty,empty,empty,60.6167627288356,56.8194110964065,empty,3,"Геологическая,Чкаловская,Площадь 1905 года","17,20,3","walk,walk,transport",Центр,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Академика Бардина, 31",3990000,36.4,empty,28.0,1,8,9,empty,empty,empty,empty,empty,empty,empty,60.562548,56.803593,empty,empty,,,,"Юго-Западный,Ленинский",empty,1
ekb,"Свердловская область, Екатеринбург, улица 22-го Партсъезда",6890000,49.28,empty,35.8,2,6,25,empty,0,2024,monolithBrick,empty,rough,empty,60.580178203762706,56.88574424988019,empty,empty,"Уралмаш,Машиностроителей,Проспект Космонавтов","3,3,4","transport,transport,transport","Уралмаш,Орджоникидзевский",0,0
ekb,"Свердловская обл., г. Екатеринбург, пр-кт Космонавтов, 61а",4200000,42.0,empty,28.0,2,4,5,empty,empty,empty,empty,empty,empty,empty,60.611605,56.908989,empty,empty,,,,"Уралмаш,Орджоникидзевский",empty,1
ekb,"Свердловская область, Екатеринбург, жилой район Южный, жилой комплекс Исеть Парк, 6",5078937,32.5,15.6,9.3,1,16,24,empty,0,2025,monolith,open,empty,empty,60.64114022090054,56.80454347263911,4,4,"Ботаническая,Чкаловская,Геологическая","14,3,5","walk,transport,transport",Октябрьский,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Победы, 102",9950000,96.5,empty,54.0,4,6,8,empty,empty,empty,empty,empty,empty,empty,60.58373,56.905195,empty,empty,,,,"Уралмаш,Орджоникидзевский",empty,1
ekb,"Свердловская область, Екатеринбург, улица 22-го Партсъезда",5290000,36.41,empty,11.1,1,6,25,empty,0,2024,monolithBrick,empty,rough,empty,60.580178203762706,56.88574424988019,empty,empty,"Уралмаш,Машиностроителей,Проспект Космонавтов","3,3,4","transport,transport,transport","Уралмаш,Орджоникидзевский",0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Старых Большевиков, 29а",10200000,121.4,empty,70.0,3,10,11,empty,empty,empty,empty,empty,empty,empty,60.626661,56.892891,empty,empty,,,,"Эльмаш,Орджоникидзевский",empty,1
ekb,"Свердловская область, Екатеринбург, микрорайон Пионерский, улица Учителей",6904000,51.8,6.0,33.7,2,7,19,empty,0,2026,monolithBrick,empty,empty,empty,60.63061196029362,56.86849494449503,2,empty,"Машиностроителей,Уральская,Уралмаш","2,3,4","transport,transport,transport","Пионерский,Орджоникидзевский",0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Чапаева, 17",3600000,28.6,empty,19.0,1,5,5,empty,empty,empty,empty,empty,empty,empty,60.613851,56.817134,empty,empty,,,,Автовокзал,empty,1
ekb,"Свердловская область, Екатеринбург, улица Академика Бардина, 26А",8515000,47.1,10.0,22.2,2,30,31,empty,1,2023,monolithBrick,empty,empty,empty,60.564632,56.804451,2,2,"Чкаловская,Геологическая,Площадь 1905 года","4,5,6","transport,transport,transport","Юго-Западный,Ленинский",0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Громова, 142",5680000,63.8,empty,35.0,3,8,9,empty,empty,empty,empty,empty,empty,empty,60.55917,56.800543,empty,empty,,,,"Юго-Западный,Ленинский",empty,1
ekb,"Свердловская область, Екатеринбург, улица Большакова",17157000,82.9,18.9,31.1,2,3,24,empty,0,2024,monolithBrick,empty,empty,empty,60.6167627288,56.8194110964,empty,3,"Геологическая,Чкаловская,Площадь 1905 года","17,20,3","walk,walk,transport",Центр,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Минометчиков, 42",4690000,58.1,empty,43.4,3,4,5,empty,empty,empty,empty,empty,empty,empty,60.526777,56.866558,empty,empty,,,,"Старая Сортировка,Железнодорожный",empty,1
ekb,"Свердловская область, Екатеринбург, улица Крауля",7180000,44.3,13.2,20.3,2,7,8,empty,0,2025,monolithBrick,empty,empty,empty,60.5228656095575,56.8299709907565,1,empty,"Площадь 1905 года,Геологическая,Динамо","7,7,8","transport,transport,transport","ВИЗ,Верх-Исетский",0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Ангарская, 54б",4990000,56.4,empty,40.0,2,5,10,empty,empty,empty,empty,empty,empty,empty,60.51376,56.885712,empty,empty,,,,"Старая Сортировка,Железнодорожный",empty,1
ekb,"Свердловская область, Екатеринбург, улица Декабристов, 20",15128000,76.8,22.9,13.8,2,13,17,empty,1,2023,monolithBrick,empty,fine,empty,60.6189071188741,56.8250363835434,2,empty,"Геологическая,Площадь 1905 года,Чкаловская","14,3,3","walk,transport,transport",Октябрьский,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Билимбаевская, 17",3850000,44.6,empty,26.0,2,5,5,empty,empty,empty,empty,empty,empty,empty,60.51624,56.881119,empty,empty,,,,"Старая Сортировка,Железнодорожный",empty,1
ekb,"Свердловская область, Екатеринбург, микрорайон Пионерский, улица Учителей",5568000,35.6,11.0,13.6,1,2,19,empty,0,2026,monolithBrick,empty,empty,empty,60.63061196029362,56.86849494449503,2,empty,"Машиностроителей,Уральская,Уралмаш","2,3,4","transport,transport,transport","Пионерский,Орджоникидзевский",0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Восточная, 24",4950000,45.2,empty,25.0,2,1,5,empty,empty,empty,empty,empty,empty,empty,60.621316,56.85148,empty,empty,,,,Центр,empty,1
ekb,"Свердловская область, Екатеринбург, улица Академика Бардина, 26А",7727000,48.8,13.9,17.8,1,16,31,empty,1,2023,monolithBrick,empty,empty,empty,60.564632,56.804451,2,2,"Чкаловская,Геологическая,Площадь 1905 года","4,5,6","transport,transport,transport","Юго-Западный,Ленинский",0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Серафимы Дерябиной, 32-б",4490000,45.5,empty,17.3,1,10,16,empty,empty,empty,empty,empty,empty,empty,60.535077,56.810202,empty,empty,,,,"Юго-Западный,Ленинский",empty,1
ekb,"Свердловская область, Екатеринбург, улица Большакова",9541000,40.6,17.2,13.0,1,2,24,empty,0,2024,monolithBrick,empty,empty,empty,60.6167627288356,56.8194110964065,empty,3,"Геологическая,Чкаловская,Площадь 1905 года","17,20,3","walk,walk,transport",Центр,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Белинского, 177а/3",9550000,70.5,empty,12.9,2,4,32,empty,empty,empty,empty,empty,empty,empty,60.639623,56.798251,empty,empty,,,,Октябрьский,empty,1
ekb,"Свердловская область, Екатеринбург, улица Крауля",5284000,31.8,10.7,10.8,1,22,31,empty,0,2025,monolithBrick,empty,empty,empty,60.5234986108864,56.8314296643902,empty,4,"Площадь 1905 года,Динамо,Геологическая","7,7,7","transport,transport,transport","ВИЗ,Верх-Исетский",0,0
ekb,"Россия, Свердловская область, Екатеринбург, улица Декабристов, 45",10900000,70.0,10.0,45.0,3,7,9,1989,empty,empty,brick,ground,empty,2,60.623058,56.824262,1,empty,"Геологическая,Чкаловская,Ботаническая","19,4,5","walk,transport,transport",Октябрьский,0,1
ekb,"Свердловская область, Екатеринбург, улица Декабристов, 20",10550000,54.4,16.4,14.1,1,2,17,empty,1,2023,monolithBrick,empty,fine,empty,60.6189071188741,56.8250363835434,2,empty,"Геологическая,Площадь 1905 года,Чкаловская","14,3,3","walk,transport,transport",Октябрьский,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Куйбышева, 181",4990000,56.3,empty,38.0,3,4,5,empty,empty,empty,empty,empty,empty,empty,60.658201,56.825749,empty,empty,,,,"Шарташский рынок,Октябрьский",empty,1
ekb,"Свердловская область, Екатеринбург, Вознесенский бульвар",24376100,73.9,19.9,29.1,2,2,9,empty,0,2025,monolithBrick,empty,rough,empty,60.61082067990024,56.85078083090487,empty,1,"Динамо,Уральская,Площадь 1905 года","12,15,3","walk,walk,transport",Центр,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Пионеров, 4",3650000,33.3,empty,19.8,1,8,9,empty,empty,empty,empty,empty,empty,empty,60.624586,56.855393,empty,empty,,,,"Пионерский,Кировский",empty,1
ekb,"Свердловская область, Екатеринбург, улица Маршала Жукова",30188000,78.1,12.2,41.5,2,3,16,empty,0,2023,monolithBrick,empty,rough,empty,60.590030594264,56.8419892193226,1,1,"Динамо,Площадь 1905 года,Уральская","13,13,3","walk,walk,transport",Центр,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Белореченская, 15, корпус 2",5240000,58.1,empty,45.0,3,2,5,empty,empty,empty,empty,empty,empty,empty,60.566276,56.818218,empty,empty,,,,"Юго-Западный,Верх-Исетский",empty,1
ekb,"Свердловская область, Екатеринбург, квартал Центральный, улица Азина",11429000,51.9,14.6,21.1,2,12,31,empty,0,2025,monolithBrick,empty,empty,empty,60.6124923439322,56.8499547541323,2,2,"Динамо,Уральская,Площадь 1905 года","12,17,3","walk,walk,transport",Центр,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Евгения Савкова, 31",5990000,64.4,empty,26.7,2,4,7,empty,empty,empty,empty,empty,empty,empty,60.485194,56.790536,empty,empty,,,,Широкая Речка,empty,1
ekb,"Свердловская область, Екатеринбург, улица Вильгельма де Геннина",4294000,31.7,7.7,14.8,1,2,25,empty,0,2026,monolithBrick,empty,fine,empty,60.5247702090138,56.7970020880222,17,empty,"Чкаловская,Геологическая,Площадь 1905 года","8,9,9","transport,transport,transport",Академический,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Амундсена, 118",6620000,70.0,empty,50.0,3,21,27,empty,empty,empty,empty,empty,empty,empty,60.544249,56.772971,empty,empty,,,,"УНЦ,Ленинский",empty,1
ekb,"Свердловская область, Екатеринбург, Вознесенский бульвар",18788500,55.0,14.7,19.2,1,3,9,empty,0,2025,monolithBrick,empty,rough,empty,60.61082067990024,56.85078083090487,empty,1,"Динамо,Уральская,Площадь 1905 года","12,15,3","walk,walk,transport",Центр,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Надеждинская, 26",5220000,50.8,empty,27.0,2,7,16,empty,empty,empty,empty,empty,empty,empty,60.543737,56.873101,empty,empty,,,,"Новая Сортировка,Железнодорожный",empty,1
ekb,"Свердловская область, Екатеринбург, Машинная улица, 1В/2",19514000,74.3,25.5,28.2,2,24,30,empty,1,2023,monolithBrick,empty,without,empty,60.631062,56.814675,2,1,"Чкаловская,Ботаническая,Геологическая","2,3,3","transport,transport,transport",Автовокзал,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Анны Бычковой, 18",3890000,33.6,empty,15.0,1,9,9,empty,empty,empty,empty,empty,empty,empty,60.673732,56.827591,empty,empty,,,,"Синие Камни,Октябрьский",empty,1
ekb,"Свердловская область, Екатеринбург, улица Маршала Жукова",21040500,56.1,18.3,22.3,1,2,16,empty,0,2023,monolithBrick,empty,rough,empty,60.590030594264,56.8419892193226,1,1,"Динамо,Площадь 1905 года,Уральская","13,13,3","walk,walk,transport",Центр,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Техническая, 158",5300000,58.1,empty,43.0,2,2,25,empty,empty,empty,empty,empty,empty,empty,60.500933,56.883986,empty,empty,,,,"Старая Сортировка,Железнодорожный",empty,1
ekb,"Свердловская область, Екатеринбург, квартал Центральный, улица Азина",8619000,34.6,14.1,9.9,1,14,31,empty,0,2025,monolithBrick,empty,empty,empty,60.6124923439322,56.8499547541323,2,2,"Динамо,Уральская,Площадь 1905 года","12,17,3","walk,walk,transport",Центр,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Самолетная, 23",6560000,67.2,empty,48.0,2,16,16,empty,empty,empty,empty,empty,empty,empty,60.638815,56.786947,empty,empty,,,,"Уктус,Чкаловский",empty,1
ekb,"Свердловская область, Екатеринбург, Машинная улица, 1В/2",10619670,51.4,22.6,16.6,1,5,30,empty,1,2023,monolithBrick,empty,without,empty,60.631062,56.814675,2,1,"Чкаловская,Ботаническая,Геологическая","2,3,3","transport,transport,transport",Автовокзал,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Московская, 214, корпус 2",6270000,64.3,empty,40.6,3,6,9,empty,empty,empty,empty,empty,empty,empty,60.592444,56.797132,empty,empty,,,,"Юго-Западный,Ленинский",empty,1
ekb,"Свердловская область, Екатеринбург, улица Академика Бардина, 26А",10637000,63.4,16.0,30.3,3,23,31,empty,1,2023,monolithBrick,empty,empty,empty,60.564632,56.804451,2,2,"Чкаловская,Геологическая,Площадь 1905 года","4,5,6","transport,transport,transport","Юго-Западный,Ленинский",0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Пехотинцев, 3, корпус 4",5090000,50.5,empty,30.0,1,8,12,empty,empty,empty,empty,empty,empty,empty,60.54645,56.872757,empty,empty,,,,"Новая Сортировка,Железнодорожный",empty,1
ekb,"Свердловская область, Екатеринбург, жилой район Южный, жилой комплекс Исеть Парк, 4",8885055,76.1,17.9,34.4,3,16,24,empty,0,2024,monolith,open,empty,empty,60.641438,56.803923,4,4,"Ботаническая,Чкаловская,Геологическая","13,3,5","walk,transport,transport",Октябрьский,0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Белинского, 232",6090000,58.6,empty,44.0,3,4,5,empty,empty,empty,empty,empty,empty,empty,60.632131,56.79796,empty,empty,,,,"Ботанический,Чкаловский",empty,1
ekb,"Свердловская область, Екатеринбург, улица 22-го Партсъезда",11131069,83.69,empty,38.3,3,8,8,empty,0,2024,monolithBrick,empty,rough,empty,60.58097213763092,56.885808853125106,empty,empty,"Уралмаш,Машиностроителей,Проспект Космонавтов","3,3,4","transport,transport,transport","Уралмаш,Орджоникидзевский",0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Академика Бардина, 34",4300000,48.0,empty,25.0,2,1,12,empty,empty,empty,empty,empty,empty,empty,60.571621,56.801292,empty,empty,,,,"Юго-Западный,Ленинский",empty,1
ekb,"Свердловская область, Екатеринбург, Кировский район, микрорайон Втузгородок, улица Мира, 47",10852000,61.78,empty,24.8,2,11,27,empty,0,2025,monolithBrick,empty,without,empty,60.65765468122782,56.83188860626082,empty,3,"Геологическая,Площадь 1905 года,Динамо","5,5,6","transport,transport,transport","Втузгородок,Кировский",0,0
ekb,"Свердловская обл., г. Екатеринбург, ул. Кунарская, 12",4850000,50.5,empty,14.0,1,15,16,empty,empty,empty,empty,empty,empty,empty,60.510724,56.880711,empty,empty,,,,"Старая Сортировка,Железнодорожный",empty,1
ekb,"Свердловская область, Екатеринбург, Удельная улица",5190210,37.0,empty,22.0,2,2,7,empty,0,2025,brick,open,empty,empty,60.47406298539567,56.79908169563492,empty,1,"Чкаловская,Геологическая,Площадь 1905 года","13,13,13","transport,transport,transport",Широкая Речка,0,0
ekb,"620067, Свердловская обл, г Екатеринбург, Кировский р-н, ул Уральская, д 82",10500000,90.0,7.5,56.8,4,5,9,empty,empty,empty,brick,empty,empty,empty,60.639084,56.851421,1,empty,,,,"Пионерский,Кировский",0,1
ekb,"Свердловская область, Екатеринбург, улица Вильгельма де Геннина",6943000,58.87,empty,empty,2,2,22,empty,0,2026,monolithBrick,empty,empty,empty,60.5226063418444,56.7950615414084,4,5,"Чкаловская,Геологическая,Площадь 1905 года","8,9,10","transport,transport,transport",Академический,0,0
ekb,"Россия, Свердловская область, Екатеринбург, Союзная улица, 27",7290000,40.3,11.0,17.0,1,21,27,2015,empty,empty,brick,underground,empty,0,60.60909,56.803958,2,1,"Чкаловская,Ботаническая,Геологическая","7,5,5","walk,transport,transport",Автовокзал,0,1
ekb,"Свердловская область, Екатеринбург, улица Мира, 47/7",7367000,31.3,4.4,15.8,1,2,24,empty,empty,2023,monolithBrick,empty,rough,empty,60.656727,56.831999,empty,3,"Геологическая,Площадь 1905 года,Чкаловская","5,5,6","transport,transport,transport","Втузгородок,Кировский",0,0
ekb,"620026, Свердловская обл, г Екатеринбург, Октябрьский р-н, ул Энгельса, д 38",7700000,46.9,7.9,27.6,2,9,9,1985,empty,empty,brick,empty,empty,empty,60.625179,56.834038,1,empty,,,,Центр,0,1
ekb,"Свердловская область, Екатеринбург, жилой комплекс Космонавтов 11, 4.2",7087014,49.5,15.8,24.1,2,5,16,empty,0,2025,monolith,open,fine,empty,60.6063416389,56.8649045437,1,1,"Уральская,Машиностроителей,Динамо","13,2,3","walk,transport,transport","Завокзальный,Железнодорожный",0,0
ekb,"620091, Свердловская обл, г Екатеринбург, Орджоникидзевский р-н, ул Энтузиастов, д 36б/2",6400000,50.0,5.5,30.0,2,11,23,2020,empty,empty,monolith,empty,empty,empty,60.631664,56.895713,2,2,,,,"Эльмаш,Орджоникидзевский",0,1
ekb,"Свердловская область, Екатеринбург, улица Краснолесья",5692000,40.76,10.9,17.2,1,6,17,empty,0,2025,monolithBrick,empty,fine,empty,60.518803339949,56.7953182338319,2,2,"Чкаловская,Геологическая,Площадь 1905 года","9,9,10","transport,transport,transport",Академический,0,0
ekb,"620028, Свердловская обл, г Екатеринбург, Верх-Исетский р-н, ул Крылова, д 26, кв 73",5400000,43.1,5.6,28.6,2,4,5,1966,empty,empty,brick,empty,empty,1,60.56986,56.836007,0,0,,,,"ВИЗ,Верх-Исетский",0,1
ekb,"Свердловская область, Екатеринбург, улица Попова, 18",26660500,75.1,empty,empty,2,27,28,empty,1,2023,monolithBrick,empty,without,empty,60.5866652638891,56.8354357545398,1,1,"Площадь 1905 года,Геологическая,Динамо","12,2,2","walk,transport,transport",Центр,0,0
ekb,"620102, Свердловская обл, г Екатеринбург, Ленинский р-н, ул Фурманова, д 124",18350000,92.0,10.0,55.2,3,14,21,2016,empty,empty,monolithBrick,empty,empty,0,60.588249,56.81436,2,1,,,,Юго-Западный,0,1
ekb,"Свердловская область, Екатеринбург, улица Академика Ландау",5495817,44.19,empty,empty,2,7,15,empty,0,2025,monolithBrick,empty,empty,empty,60.506132461591584,56.77996712118311,empty,4,"Чкаловская,Геологическая,Ботаническая","11,12,12","transport,transport,transport",Академический,0,0
ekb,"Свердловская область, Екатеринбург, улица Токарей, 40",7480000,44.8,11.0,18.1,1,15,18,2012,empty,empty,block,empty,empty,empty,60.560913,56.834624,1,1,,,,"ВИЗ,Верх-Исетский",0,1
ekb,"Свердловская область, Екатеринбург, улица Вильгельма де Геннина",4859000,36.67,empty,empty,1,2,22,empty,0,2026,monolithBrick,empty,empty,empty,60.5226063418444,56.7950615414084,4,5,"Чкаловская,Геологическая,Площадь 1905 года","8,9,10","transport,transport,transport",Академический,0,0
ekb,"620100, Свердловская обл, г Екатеринбург, Октябрьский р-н, ул Ткачей, д 19/2",14700000,50.8,12.7,25.0,2,29,30,empty,empty,empty,monolith,empty,empty,empty,60.634719,56.81506,2,2,,,,"Парковый,Октябрьский",0,1
ekb,"Свердловская область, Екатеринбург, улица Амундсена",5830000,31.74,empty,empty,1,3,24,empty,0,2025,monolithBrick,empty,empty,empty,60.5283756812676,56.76585291803,2,empty,"Чкаловская,Ботаническая,Геологическая","10,11,12","transport,transport,transport",Академический,0,0
ekb,"Свердловская область, Екатеринбург, улица 8 Марта, 204Г",10500000,66.9,24.0,28.0,2,21,25,empty,empty,empty,monolith,empty,fine,1,60.605721,56.795515,2,1,"Чкаловская,Ботаническая,Геологическая","2,3,5","transport,transport,transport","Ботанический,Чкаловский",0,1
ekb,"Свердловская область, Екатеринбург, жилой комплекс Космонавтов 11, 4.2",5244838,33.9,10.6,15.9,1,23,25,empty,0,2025,monolith,open,fine,empty,60.6063416388685,56.8649045436668,3,empty,"Уральская,Машиностроителей,Динамо","13,2,3","walk,transport,transport","Завокзальный,Железнодорожный",0,0
ekb,"Свердловская обл, Екатеринбург, ул. Народной воли, 69",80000000,253.0,40.0,160.0,5,8,8,2000,empty,empty,brick,empty,empty,empty,60.615126,56.826365,1,empty,,,,Центр,0,0
ekb,"Свердловская область, Екатеринбург, улица Академика Ландау",4304927,32.88,empty,empty,1,8,15,empty,0,2025,monolithBrick,empty,empty,empty,60.506132461600004,56.7799671212,empty,4,"Чкаловская,Геологическая,Ботаническая","11,12,12","transport,transport,transport",Академический,0,0
ekb,"Екатеринбург,Пионерский, Уральская, 56А",5100000,47.2,7.4,empty,2,7,10,1992,empty,empty,empty,empty,empty,1,60.627433,56.857455,1,0,,,,"Пионерский,Кировский",empty,0
