region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
kzn,"Республика Татарстан, Казань, Советский район, жилой комплекс Светлая Долина",8303760,48.56,8.6,27.2,2,19,25,empty,0,2025,monolith,empty,without,empty,49.2405413082094,55.7987501492074,4,4,"Горки,Проспект Победы,Аметьево","8,9,9","transport,transport,transport","Малые Клыки,Советский",0,0
kzn,"Республика Татарстан, Казань, улица Аметьевская Магистраль, 18к2",14399000,65.1,11.8,34.0,2,20,27,2019,empty,empty,monolithBrick,underground,empty,empty,49.171425,55.766927,4,4,"Аметьево,Горки,Суконная слобода","4,4,5","walk,transport,transport",Советский,0,1
kzn,"Республика Татарстан, Казань, улица Петра Полушкина",9796080,48.02,8.5,27.6,2,3,22,empty,0,2026,monolith,empty,empty,empty,49.2085453253462,55.7833457209088,12,empty,"Горки,Аметьево,Проспект Победы","4,5,6","transport,transport,transport",Советский,0,0
kzn,"Республика Татарстан, Казань, улица Аметьевская Магистраль, 18к3",8399000,42.0,14.5,empty,1,24,29,2020,empty,empty,empty,underground,empty,empty,49.172575,55.766445,4,empty,"Аметьево,Горки,Суконная слобода","5,20,5","walk,walk,transport","Танкодром,Советский",0,1
kzn,"Республика Татарстан, Казань, жилой комплекс Нокса Парк, 8",8279236,53.0,17.8,23.3,2,5,17,empty,0,2025,panel,open,empty,1,49.22608800992485,55.80569239864893,2,empty,"Горки,Аметьево,Суконная слобода","8,9,9","transport,transport,transport","Малые Клыки,Советский",0,0
kzn,"Республика Татарстан, Казань, улица Аметьевская Магистраль, 18к3",9500000,51.0,22.0,empty,2,21,26,2020,empty,empty,monolithBrick,underground,empty,empty,49.172575,55.766445,4,4,"Аметьево,Горки,Суконная слобода","5,2,3","walk,transport,transport","Танкодром,Советский",0,1
kzn,"Республика Татарстан, Казань, улица Петра Полушкина",8496800,32.68,8.4,14.4,1,4,17,empty,0,2024,monolith,empty,empty,1,49.2107983809194,55.7841921431468,4,4,"Горки,Аметьево,Проспект Победы","4,5,6","transport,transport,transport",Советский,0,0
kzn,"Россия, Республика Татарстан, Казань, Федосеевская улица, 54",69990000,141.1,empty,empty,4,3,4,2011,empty,empty,brick,underground,empty,0,49.119089,55.802153,0,0,"Кремлёвская,Площадь Тукая,Суконная слобода","17,5,8","walk,transport,transport","Центр,Вахитовский",0,1
kzn,"Республика Татарстан, Казань, жилой комплекс Нокса Парк, 7",6909460,32.9,15.6,9.1,1,3,12,empty,0,2025,panel,open,empty,empty,49.2259646283,55.8062634067,1,1,"Горки,Аметьево,Суконная слобода","8,9,9","transport,transport,transport",Советский,0,0
kzn,"Россия, Республика Татарстан, Казань, улица Солидарности, 21",4270000,31.1,4.0,24.1,1,6,9,1979,empty,empty,brick,empty,empty,empty,49.231217,55.859882999999996,1,empty,"Суконная слобода,Горки,Площадь Тукая","18,19,19","transport,transport,transport","Дербышки,Советский",0,1
