region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
nng,"Нижний Новгород, улица Коперника",8075540,51.7,empty,empty,2,8,18,empty,0,2025,monolithBrick,empty,empty,empty,43.841007469556565,56.34578535864196,empty,empty,"Буревестник,Бурнаковская,Канавинская","7,9,10","transport,transport,transport","Кооперативный поселок,Сормовский",0,0
nng,"Россия, Нижний Новгород, улица Сергея Акимова, 57",7700000,64.0,9.6,38.2,3,9,9,1984,empty,empty,panel,ground,empty,1,43.930564,56.347779,1,0,"Стрелка,Бурнаковская,Канавинская","4,6,7","transport,transport,transport","Мещерское озеро,Канавинский",0,1
nng,"Нижний Новгород, улица Коперника",6064162,35.8,empty,empty,1,2,18,empty,0,2025,monolithBrick,empty,empty,empty,43.841007469556565,56.34578535864196,empty,empty,"Буревестник,Бурнаковская,Канавинская","7,9,10","transport,transport,transport","Кооперативный поселок,Сормовский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Гаражный пер, дом 5 корпус 1",12540000,98.0,17.0,50.0,3,4,10,2016,empty,empty,monolithBrick,ground,empty,0,44.032765,56.309369,1,0,Горьковская,6,transport,"Высоково,Советский",empty,0
nng,"Нижний Новгород, Украинская улица",7130000,55.63,16.1,23.6,2,3,27,empty,0,2026,monolithBrick,empty,empty,empty,43.9253262884,56.3020112442,empty,empty,"Ленинская,Чкаловская,Заречная","11,15,6","walk,walk,transport","Ленгородок,Канавинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Авангардная ул, 14",3400000,21.8,4.9,11.9,1,9,9,1975,empty,empty,panel,ground,empty,0,43.886681,56.309359,1,0,"Бурнаковская,Пролетарская,Московская","6,12,16","transport,transport,transport","15-й квартал,Канавинский",empty,0
nng,"Нижний Новгород, Гаражная улица",9810000,66.97,17.9,31.5,2,2,24,empty,0,2025,monolithBrick,empty,empty,empty,44.03328534854769,56.30875871016914,empty,empty,"Горьковская,Стрелка,Московская","5,8,8","transport,transport,transport","Высоково,Советский",0,0
nng,"Нижегородская область, городской округ Нижний Новгород,   Нижний Новгород, Маршала Баграмяна ул, 1",10100000,38.2,11.0,16.0,1,3,8,empty,empty,empty,empty,empty,empty,empty,43.976953,56.300065,1,1,,,,"проспект Гагарина,Советский",0,0
nng,"Нижний Новгород, улица Белинского",13368000,55.7,15.6,23.7,2,2,9,empty,0,2026,monolithBrick,empty,empty,empty,44.003460565386646,56.310718758272785,empty,empty,"Горьковская,Московская,Стрелка","9,7,10","walk,transport,transport","Высоково,Советский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Ботаническая ул, 10",3200000,29.8,7.0,14.0,1,1,3,empty,empty,empty,panel,empty,empty,empty,43.999447,56.249321,empty,empty,,,,"Дубенки,Приокский",empty,0
nng,"Нижний Новгород, улица Белинского",15886500,59.5,13.3,27.6,2,11,13,empty,0,2025,monolithBrick,empty,empty,empty,44.0028919370759,56.31120179936566,empty,empty,"Горьковская,Московская,Стрелка","9,7,10","walk,transport,transport","Высоково,Советский",0,0
nng,"Нижегородская область, Нижний Новгород г., Сормовский, Ногина ул., д.20",9000000,104.3,13.1,74.7,4,6,6,empty,empty,empty,panel,empty,empty,0,43.847901,56.35908,empty,empty,Буревестник,7,transport,"Володарский,Сормовский",empty,0
nng,"Нижний Новгород, Грузинская улица",22050000,66.81,empty,59.6,2,2,6,empty,0,2026,monolithBrick,empty,rough,empty,44.0025460701,56.3212286194,empty,empty,"Горьковская,Московская,Стрелка","14,8,9","walk,transport,transport","Центр,Нижегородский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Вятская ул, 4",9280000,59.5,18.5,27.7,2,10,10,empty,empty,empty,brick,ground,empty,1,43.968482,56.232649,1,0,,,,"Щербинки,Приокский",empty,0
nng,"Нижний Новгород, Грузинская улица",16270000,42.8,empty,34.0,1,5,6,empty,0,2026,monolithBrick,empty,rough,empty,44.0025460701,56.3212286194,empty,empty,"Горьковская,Московская,Стрелка","14,8,9","walk,transport,transport","Центр,Нижегородский",0,0
nng,"Нижегородская область, городской округ Нижний Новгород,   Нижний Новгород, Шимборского ул, 9",3600000,33.0,5.5,18.5,1,2,5,empty,empty,empty,panel,empty,empty,1,43.845996,56.344586,empty,empty,,,,"Вождей Революции,Сормовский",0,0
nng,"Нижний Новгород, улица Коперника",9959600,70.0,empty,empty,3,5,18,empty,0,2025,monolithBrick,empty,empty,empty,43.8410074696,56.3457853586,empty,empty,"Буревестник,Бурнаковская,Канавинская","7,9,10","transport,transport,transport","Кооперативный поселок,Сормовский",0,0
nng,"Нижегородская область, Нижний Новгород г., Канавинский, Тихорецкая ул., д.8",4500000,41.4,5.4,28.5,2,4,5,1966,empty,empty,panel,empty,empty,1,43.881031,56.311726,empty,empty,Канавинская,7,transport,"15-й квартал,Канавинский",empty,0
nng,"Нижний Новгород, Украинская улица",5400000,35.52,14.9,10.6,1,3,27,empty,0,2026,monolithBrick,empty,empty,empty,43.92532628835833,56.30201124421389,empty,empty,"Ленинская,Чкаловская,Заречная","11,15,6","walk,walk,transport","Ленгородок,Канавинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Генкиной ул, 41А",8500000,68.5,8.9,47.5,3,4,4,empty,empty,empty,brick,empty,empty,2,44.022246,56.313598,empty,empty,,,,"Высоково,Советский",empty,0
nng,"Нижний Новгород, Краснозвёздная улица, 10",12814800,70.8,16.2,34.8,2,2,9,empty,1,2023,monolithBrick,empty,without,empty,43.9858176871716,56.288003967573374,empty,empty,"Горьковская,Ленинская,Заречная","6,10,12","transport,transport,transport","Тобольские казармы,Советский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Кораблестроителей пр-кт, 56",5100000,35.0,8.9,13.9,1,16,17,2018,empty,empty,panel,empty,empty,0,43.802671,56.361703,1,1,,,,Сормовский,empty,0
nng,"Нижний Новгород, улица Пушкина",10990000,56.85,11.2,23.9,2,15,17,empty,1,2024,monolithBrick,empty,without,empty,43.9929341632427,56.2935394077752,1,1,"Горьковская,Ленинская,Чкаловская","3,5,6","transport,transport,transport","улица Бекетова,Советский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Энтузиастов ул, 8",3990000,32.2,6.1,18.5,1,4,5,1962,empty,empty,brick,empty,empty,1,43.923126,56.285813,empty,empty,Заречная,5,walk,"Красная Этна,Ленинский",empty,0
nng,"Нижний Новгород, посёлок Парышево, Зеленхозовская улица",5566500,51.9,15.6,20.4,2,3,4,empty,0,2025,monolithBrick,empty,without,empty,43.81744473275554,56.21956220667513,empty,empty,"Парк культуры,Кировская,Комсомольская","8,9,11","transport,transport,transport",Автозаводский,0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Норвежская ул, 6",6350000,62.1,7.1,43.3,3,8,9,1981,empty,empty,panel,ground,empty,1,44.029217,56.296579,1,0,,,,"улица Бекетова,Советский",empty,0
nng,"Нижний Новгород, Гаражная улица",9440000,67.7,17.9,30.8,2,2,24,empty,0,2025,monolithBrick,empty,empty,empty,44.03328534854769,56.30875871016914,empty,empty,"Горьковская,Стрелка,Московская","5,8,8","transport,transport,transport","Высоково,Советский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Холодный пер, 5",18000000,100.0,17.0,46.3,2,5,5,1998,empty,empty,brick,empty,empty,0,43.998746,56.31898,empty,empty,Горьковская,8,walk,"Центр,Нижегородский",empty,0
nng,"Нижний Новгород, улица Лесной Городок, 7Б",6755400,48.6,12.7,empty,2,4,8,empty,0,2025,monolithBrick,empty,empty,empty,43.8397742195737,56.3075109097953,empty,empty,"Бурнаковская,Буревестник,Канавинская","8,10,10","transport,transport,transport","Сортировочный,Канавинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Верхнепечёрская, 14",5550000,34.8,8.4,17.9,1,3,10,2002,empty,empty,panel,empty,empty,0,44.069452,56.285973,1,empty,,,,"Верхние Печеры,Нижегородский",empty,0
nng,"Нижний Новгород, улица Родионова",10189670,64.8,empty,empty,2,2,10,empty,1,2023,monolithBrick,underground,rough,empty,44.0751424325,56.304985377,1,1,"Горьковская,Московская,Стрелка","10,15,16","transport,transport,transport","Печерская долина,Нижегородский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Первоцветная ул, 4к2",10300000,67.4,12.0,36.9,2,7,17,empty,empty,empty,block,empty,empty,1,44.017799,56.264057,1,empty,,,,"Цветы,Приокский",empty,0
nng,"Нижний Новгород, улица Пушкина",8690000,44.55,11.2,19.3,1,16,17,empty,0,2024,monolithBrick,empty,without,empty,43.9940392333565,56.2936318835857,1,1,"Горьковская,Ленинская,Чкаловская","3,5,6","transport,transport,transport","улица Бекетова,Советский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Бубнова ул, 7",2920000,30.4,6.5,17.1,1,1,5,empty,empty,empty,brick,empty,empty,empty,43.75082,56.248106,1,empty,,,,"Доскино,Автозаводский",empty,0
nng,"Нижний Новгород, посёлок Парышево, Зеленхозовская улица",5490000,35.9,11.7,16.0,1,2,4,empty,0,2025,monolithBrick,empty,fine,empty,43.81744473275554,56.21956220667513,empty,empty,"Парк культуры,Кировская,Комсомольская","8,9,11","transport,transport,transport",Автозаводский,0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Героев пр-кт, 41",5300000,53.9,4.7,34.4,3,1,6,1966,empty,empty,brick,empty,empty,empty,43.886834,56.322035,empty,empty,Буревестник,5,transport,"Московский проспект,Московский",empty,0
nng,"Нижний Новгород, Гаражная улица",7550000,44.56,16.8,13.7,1,4,24,empty,0,2025,monolithBrick,empty,empty,empty,44.0332853485,56.3087587102,empty,empty,"Горьковская,Стрелка,Московская","5,8,8","transport,transport,transport","Высоково,Советский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Бориса Панина ул, 7А",7500000,53.0,8.9,29.6,2,2,9,1990,empty,empty,panel,empty,empty,1,44.029971,56.308885,1,empty,,,,"Высоково,Советский",empty,0
nng,"Нижний Новгород, улица Лесной Городок, 7Б",5757950,36.1,12.4,empty,1,6,8,empty,0,2025,monolithBrick,empty,empty,empty,43.8397742195737,56.3075109097953,empty,empty,"Бурнаковская,Буревестник,Канавинская","8,10,10","transport,transport,transport","Сортировочный,Канавинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Академика Королева Б.А. б-р, 6",13500000,99.8,12.6,48.2,3,6,11,2022,empty,empty,monolithBrick,ground,empty,0,44.033655,56.28287,1,0,,,,"Кузнечиха,Советский",empty,0
nng,"Нижний Новгород, улица Родионова",7820129,42.4,empty,empty,1,6,10,empty,1,2023,monolithBrick,underground,rough,empty,44.0751424325085,56.3049853770483,1,1,"Горьковская,Московская,Стрелка","10,15,16","transport,transport,transport","Печерская долина,Нижегородский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Трудовая ул, 6",7850000,45.6,6.2,28.1,2,3,9,1977,empty,empty,brick,ground,empty,0,44.027384,56.322764,1,0,Горьковская,4,transport,"Центр,Нижегородский",empty,0
nng,"Нижний Новгород, Молитовская улица",8870000,59.63,16.4,24.5,2,2,24,empty,0,2026,monolithBrick,empty,empty,empty,43.9492141851795,56.2966885567964,empty,empty,"Ленинская,Чкаловская,Заречная","11,5,6","walk,transport,transport","Молитовка,Ленинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Вятская ул, 8",8150000,55.5,10.8,30.1,2,2,18,2019,empty,empty,monolithBrick,empty,empty,0,43.969668,56.233384,1,1,,,,"Щербинки,Приокский",empty,0
nng,"Нижний Новгород, улица Сергея Тюленина, 20А",6540750,40.5,15.0,12.5,1,9,10,empty,1,2022,monolithBrick,empty,empty,empty,43.8592442037041,56.2287263851037,empty,empty,"Парк культуры,Кировская,Комсомольская","20,4,6","walk,transport,transport","Автозавод,Автозаводский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Генкиной ул, 31Б",3999900,32.0,6.8,18.1,2,1,3,empty,empty,empty,brick,empty,empty,empty,44.013784,56.310947,empty,empty,,,,"Высоково,Советский",empty,0
nng,"Нижний Новгород, улица Александра Хохлова",10690000,61.15,14.0,26.9,2,2,19,empty,0,2024,monolith,empty,without,empty,44.0681455224746,56.3020012256507,empty,empty,"Горьковская,Стрелка,Московская","7,11,12","transport,transport,transport",Нижегородский,0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Невзоровых ул, 47",21000000,95.1,26.1,57.0,4,5,12,empty,empty,empty,brick,empty,empty,1,44.019686,56.315126,1,empty,,,,"Высоково,Советский",empty,0
nng,"Нижегородская область, Нижний Новгород, улица 50-летия Победы",8600000,55.39,19.0,24.8,2,4,17,empty,0,2025,monolithBrick,empty,empty,empty,43.8839589999976,56.3339007329878,2,2,"Буревестник,Бурнаковская,Канавинская","10,5,6","walk,transport,transport","Спортивный,Московский",0,0
nng,"г Нижний Новгород, ул Бурнаковская, д 81",6250000,43.0,10.5,17.0,1,8,10,empty,empty,empty,monolith,empty,empty,empty,43.910756,56.341912,empty,empty,,,,"Бурнаковский,Московский",0,0
nng,"Нижний Новгород, Архангельская улица, 18",5103000,37.8,7.4,18.9,2,5,14,empty,0,2025,brick,ground,empty,empty,43.84567319048979,56.28667549744891,empty,empty,"Пролетарская,Двигатель Революции,Автозаводская","13,13,13","transport,transport,transport","Сортировочный,Канавинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Гагарина пр-кт, 99к2",6450000,37.6,10.6,16.8,1,15,25,2015,empty,empty,block,empty,empty,1,43.957118,56.239448,1,empty,"Пролетарская,Горьковская","8,13","transport,transport","Щербинки,Приокский",empty,0
nng,"Нижний Новгород, Молитовская улица",6840000,38.15,13.9,11.7,1,2,24,empty,0,2026,monolithBrick,empty,empty,empty,43.9492141851795,56.2966885567964,empty,empty,"Ленинская,Чкаловская,Заречная","11,5,6","walk,transport,transport","Молитовка,Ленинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Адмирала Васюнина ул, 7к1",5450000,31.7,5.5,19.0,1,4,5,1967,empty,empty,panel,ground,empty,1,44.041605,56.298047,0,0,Горьковская,7,transport,"Нагорный,Советский",empty,0
nng,"Нижний Новгород, улица Александра Хохлова",8490000,41.1,15.3,14.1,1,2,19,empty,0,2024,monolith,empty,without,empty,44.0681455224746,56.3020012256507,empty,empty,"Горьковская,Стрелка,Московская","7,11,12","transport,transport,transport",Нижегородский,0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Максима Горького пл, 1/61",7490000,42.4,5.2,22.7,2,2,7,1963,empty,empty,brick,empty,empty,empty,43.992251,56.3157,1,empty,Горьковская,3,walk,"Центр,Нижегородский",empty,0
nng,"Нижний Новгород, улица Коперника",8421400,53.3,empty,empty,2,2,19,empty,0,2025,monolithBrick,empty,empty,empty,43.84429740873615,56.34208871574588,empty,empty,"Буревестник,Бурнаковская,Канавинская","5,7,8","transport,transport,transport","Кооперативный поселок,Сормовский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Норильская ул, 12",4500000,31.2,5.7,18.5,1,3,4,1962,empty,empty,brick,empty,empty,1,43.925785,56.275174,empty,empty,Двигатель Революции,3,walk,"Двигатель Революции,Ленинский",empty,0
nng,"Нижегородская область, Нижний Новгород, улица 50-летия Победы",6510000,40.28,15.5,13.0,1,2,17,empty,0,2026,monolithBrick,empty,empty,empty,43.88345474470432,56.334371560582866,empty,empty,"Буревестник,Бурнаковская,Канавинская","13,5,6","walk,transport,transport","Спортивный,Московский",0,0
nng,"Нижегородская область, городской округ Нижний Новгород,   Нижний Новгород, Бригадная ул, 1В",2750000,31.1,6.6,18.1,1,1,2,empty,empty,empty,brick,empty,empty,empty,43.927276,56.323712,empty,empty,,,,"Бурнаковский,Московский",0,0
nng,"Нижний Новгород, Архангельская улица, 18",4394000,33.8,12.2,11.3,1,7,14,empty,0,2025,brick,ground,empty,empty,43.84567319048979,56.28667549744891,empty,empty,"Пролетарская,Двигатель Революции,Автозаводская","13,13,13","transport,transport,transport","Сортировочный,Канавинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Карла Маркса ул, 12",5180000,35.0,8.2,18.0,1,8,9,1982,empty,empty,panel,ground,empty,0,43.930806,56.345304,1,0,,,,"Мещерское озеро,Канавинский",empty,0
nng,"Нижний Новгород, улица Родионова",6013800,23.4,empty,empty,1,4,6,empty,0,2025,monolithBrick,empty,empty,empty,44.0681186627039,56.3173417880816,empty,empty,"Горьковская,Стрелка,Московская","7,10,11","transport,transport,transport","Подновье,Нижегородский",1,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Союзный пр-кт, 2г",6500000,41.0,8.8,19.1,1,10,10,2014,empty,empty,brick,empty,empty,0,43.852743,56.359843,1,1,"Буревестник,Московская","7,19","transport,transport","Володарский,Сормовский",empty,0
nng,"Нижний Новгород, улица Владимира Высоцкого, 1",18142796,74.3,empty,empty,2,9,21,empty,1,2021,monolith,empty,empty,empty,44.074363975532,56.3098614662129,empty,2,"Горьковская,Стрелка,Московская","7,11,12","transport,transport,transport",Нижегородский,0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Студеная ул, 52к1",35000000,150.0,10.0,48.9,3,5,5,empty,empty,empty,brick,empty,empty,empty,44.000111,56.312665,1,empty,,,,"Центр,Нижегородский",empty,0
nng,"Нижний Новгород, улица Белинского",13224000,55.1,15.0,24.0,2,2,9,empty,0,2026,monolithBrick,empty,empty,empty,44.003460565386646,56.310718758272785,empty,empty,"Горьковская,Московская,Стрелка","9,7,10","walk,transport,transport","Высоково,Советский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, 60-летия Октября б-р, 23к1",10400000,67.7,12.0,36.8,2,16,17,2014,empty,empty,panel,ground,empty,0,44.042251,56.285308,1,0,,,,"Кузнечиха,Советский",empty,0
nng,"Нижний Новгород, улица Коперника",6679200,36.8,empty,empty,1,4,19,empty,0,2025,monolithBrick,empty,empty,empty,43.84429740873615,56.34208871574588,empty,empty,"Буревестник,Бурнаковская,Канавинская","5,7,8","transport,transport,transport","Кооперативный поселок,Сормовский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Щербинки 1 мкр, 6",5730000,55.0,6.0,35.5,3,1,5,1968,empty,empty,brick,ground,empty,0,43.971383,56.241469,0,0,Пролетарская,10,transport,"Щербинки,Приокский",empty,0
nng,"Нижний Новгород, улица Бетанкура",11690000,49.1,12.1,21.8,2,14,24,empty,0,2025,monolithBrick,empty,without,empty,43.9483690025921,56.33207033231621,empty,empty,"Стрелка,Московская,Канавинская","4,16,3","walk,walk,transport","Мещерское озеро,Канавинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Шаляпина ул, 19",6200000,60.5,7.0,44.1,3,5,9,1970,empty,empty,panel,empty,empty,1,43.918715,56.328669,1,empty,Бурнаковская,6,walk,"Бурнаковский,Московский",empty,0
nng,"Нижний Новгород, улица Владимира Высоцкого, 1",11752488,41.8,empty,empty,1,11,21,empty,1,2021,monolith,empty,empty,empty,44.0737577962943,56.3104160802639,empty,2,"Горьковская,Стрелка,Московская","7,11,12","transport,transport,transport",Нижегородский,0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Глеба Успенского ул, 1к3",12200000,86.0,14.1,54.5,3,7,14,2018,empty,empty,monolith,empty,empty,0,43.931723,56.272805,1,1,Двигатель Революции,11,walk,"Двигатель Революции,Ленинский",empty,0
nng,"Нижний Новгород, улица Белинского",10368000,37.7,13.8,12.3,1,4,9,empty,0,2026,monolithBrick,empty,empty,empty,44.003460565386646,56.310718758272785,empty,empty,"Горьковская,Московская,Стрелка","9,7,10","walk,transport,transport","Высоково,Советский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, 60-летия Октября б-р, 5а",6300000,41.6,10.1,17.6,1,16,17,2015,empty,empty,panel,ground,empty,0,44.042162,56.286298,1,0,,,,"Кузнечиха,Советский",empty,0
nng,"Нижний Новгород, Арктический переулок",9715500,57.15,empty,empty,2,2,10,empty,0,2025,monolithBrick,empty,empty,empty,43.93774265871887,56.27882794344585,empty,empty,"Заречная,Двигатель Революции,Пролетарская","15,16,7","walk,walk,transport","Молитовка,Ленинский",0,0
nng,"Нижегородская область, Нижний Новгород городской округ, Нижний Новгород, Вязниковская ул, 42",6000000,67.6,12.5,36.9,2,9,9,empty,empty,empty,panel,ground,empty,0,43.848134,56.306638,1,0,,,,"Сортировочный,Канавинский",empty,0
