region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
nsk,"Новосибирск, улица Аэропорт",6810000,41.1,empty,empty,2,3,15,empty,0,2025,monolith,empty,empty,empty,82.90453591534391,55.08040439520254,1,1,"Заельцовская,Гагаринская,Сибирская","3,5,7","transport,transport,transport","Аэропорт,Заельцовский",0,0
nsk,"Новосибирская область,Новосибирск,Забалуева,102",6714715,71.1,9.5,41.6,3,5,17,empty,empty,empty,monolith,empty,empty,empty,82.774676,54.987884,empty,empty,,,,Ленинский,empty,1
nsk,"Новосибирск, улица Семьи Шамшиных, с91",11320000,63.39,empty,empty,2,3,17,empty,0,2026,monolith,empty,empty,empty,82.9252218207565,55.0474968346469,empty,2,"Гагаринская,Сибирская,Маршала Покрышкина","9,10,10","walk,walk,walk",Центральный,0,0
nsk,"Новосибирская область,Новосибирск,Виктора Уса,7/1",8000000,105.0,16.0,63.0,3,8,9,empty,empty,empty,monolith,empty,empty,empty,82.884659,54.938617,empty,empty,,,,"Затулинский,Кировский",empty,1
nsk,"Новосибирск, улица Аэропорт",6810000,40.58,18.0,11.0,1,4,15,empty,0,2025,monolith,empty,empty,empty,82.90453591534391,55.08040439520254,1,1,"Заельцовская,Гагаринская,Сибирская","3,5,7","transport,transport,transport","Аэропорт,Заельцовский",0,0
nsk,"Новосибирская область,Новосибирск,Виктора Уса,2",4500000,50.1,9.0,28.0,2,12,17,empty,empty,empty,monolith,empty,empty,empty,82.882772,54.941751,empty,empty,,,,Кировский,empty,1
nsk,"Новосибирск, Большевистская улица, 43/2с",7450000,36.41,empty,empty,2,8,24,empty,0,2025,monolith,empty,empty,empty,82.977122,54.992301,1,1,,,,"Европейский Берег,Октябрьский",0,0
nsk,"Россия, Новосибирск, улица Немировича-Данченко, 118/1",6000000,62.6,7.0,43.5,3,6,9,1975,empty,empty,brick,ground,empty,1,82.903065,54.97253,1,0,"Площадь Маркса,Студенческая,Речной вокзал","18,4,8","walk,transport,transport",Кировский,0,1
nsk,"Новосибирск, Большевистская улица",4590000,19.9,empty,empty,1,12,17,empty,0,2026,monolith,empty,empty,empty,82.97490539552238,54.992681954827,1,1,,,,"Европейский Берег,Октябрьский",0,0
nsk,"Новосибирская область,Новосибирск,Забалуева,88",3900000,40.5,12.0,19.0,1,10,17,empty,empty,empty,monolith,empty,empty,empty,82.785359,54.988696,empty,empty,,,,Ленинский,empty,1
