region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
spb,"Санкт-Петербург, Петровский проспект, 9к2",16835400,42.3,19.6,17.7,1,7,9,empty,1,2024,monolith,underground,without,empty,30.265935099195,59.9619383819374,1,empty,"Спортивная,Чкаловская,Крестовский остров","2,3,5","transport,transport,transport","Петровский,Петроградский",0,0
spb,"Россия, Санкт-Петербург город, город Сестрорецк, улица Максима Горького, дом 2а, строение 3",39950000,71.3,26.4,28.4,2,3,5,2020,empty,empty,monolith,underground,empty,empty,29.954341,60.115158,1,1,,,,"Сестрорецк,Курортный",1,1
spb,"Санкт-Петербург, Большой Смоленский проспект",15950301,52.91,17.1,23.5,2,3,12,empty,0,2026,monolithBrick,empty,fine,1,30.4169244974,59.9040094133,3,3,"Елизаровская,Площадь Александра Невского,Ломоносовская","20,5,7","walk,transport,transport","Невская застава,Невский",0,0
spb,"Санкт-Петербург, Аптекарский проспект, 18 лит. а",51000000,98.0,35.7,40.0,3,3,5,2020,empty,empty,monolith,empty,empty,1,30.319515,59.974387,1,empty,Петроградская,15,walk,"Аптекарский остров,Петроградский",0,1
spb,"Санкт-Петербург, Ремесленная улица",20143235,57.47,10.2,29.1,2,6,8,empty,0,2024,monolith,empty,without,empty,30.2670742473,59.9570898054,1,empty,"Чкаловская,Крестовский остров,Спортивная","20,3,4","walk,transport,transport","Петровский,Петроградский",0,0
spb,"Санкт-Петербург, Аптекарский проспект, 18",27000000,60.0,20.0,34.0,2,7,10,empty,empty,empty,monolith,empty,empty,1,30.319515,59.974387,empty,empty,Петроградская,15,walk,"Аптекарский остров,Петроградский",0,1
spb,"Санкт-Петербург, жилой комплекс Айди Светлановский",10169034,35.78,9.8,16.9,1,2,12,empty,0,2024,monolithBrick,underground,empty,empty,30.3274265495974,60.0065677292286,8,16,"Удельная,Пионерская,Площадь Мужества","18,3,6","walk,transport,transport","Светлановское,Выборгский",0,0
spb,"Россия, Санкт-Петербург, Ремесленная улица, 17",26000000,65.77,19.0,35.7,2,4,8,2024,empty,empty,monolith,underground,empty,empty,30.268671,59.957305,1,1,"Василеостровская,Спортивная,Чкаловская","4,4,5","transport,transport,transport","Петровский,Петроградский",0,1
spb,"Санкт-Петербург, жилой комплекс Айди Светлановский",10142475,36.56,11.1,13.4,1,2,12,empty,0,2025,monolithBrick,underground,empty,empty,30.3271529642773,60.0070861597257,6,12,"Удельная,Пионерская,Площадь Мужества","18,4,6","walk,transport,transport","Светлановское,Выборгский",0,0
spb,"Санкт-Петербург, Захарьевская ул., д. 41",50004000,86.1,10.0,50.0,2,5,6,1907,empty,empty,monolith,empty,empty,empty,30.366785,59.947428,1,1,Чернышевская,10,walk,"Смольнинское,Центральный",0,1
spb,"Санкт-Петербург, улица Шостаковича",10153567,34.5,15.9,10.3,1,3,16,empty,0,2026,monolith,underground,fine,empty,30.3312110979,60.0605205522,empty,empty,"Проспект Просвещения,Парнас,Озерки","17,5,8","walk,transport,transport","Шувалово-Озерки,Выборгский",0,0
spb,"Санкт-Петербург, Центральный район, 8-я Советская ул., д.17-19, литер А",34900000,158.3,49.0,68.5,5,3,5,empty,empty,empty,brick,empty,empty,0,30.37319,59.936638,empty,empty,"Площадь Восстания,Чернышевская","14,19","walk,walk","Смольнинское,Центральный",empty,1
spb,"Санкт-Петербург, улица Шостаковича",14564624,57.5,18.7,20.0,2,5,16,empty,0,2026,monolith,underground,fine,empty,30.3312110978692,60.0605205521894,empty,empty,"Проспект Просвещения,Парнас,Озерки","17,5,8","walk,transport,transport","Шувалово-Озерки,Выборгский",0,0
spb,"Санкт-Петербург, Парадная ул., д. 3, к. 2",54000000,96.0,22.1,46.5,3,3,8,2009,empty,empty,empty,empty,empty,1,30.367369,59.942146,1,empty,Чернышевская,13,walk,"Смольнинское,Центральный",0,1
spb,"Санкт-Петербург, Заневский проспект, 65А",11949999,46.3,26.7,14.6,1,11,15,empty,0,2024,empty,empty,fine,empty,30.43423666997013,59.93209710600549,empty,empty,,,,"Малая Охта,Красногвардейский",1,0
spb,"Санкт-Петербург, Парадная ул., д. 3, к. 2",83500000,141.0,16.5,79.5,4,7,9,2009,empty,empty,empty,empty,empty,2,30.367369,59.942146,1,empty,Чернышевская,13,walk,"Смольнинское,Центральный",0,1
spb,"Санкт-Петербург, проспект Юрия Гагарина",21533220,77.18,19.6,33.2,2,14,23,empty,0,2025,monolithBrick,empty,empty,empty,30.342415701079,59.8515188652706,empty,empty,,,,"Гагаринское,Московский",0,0
spb,"Санкт-Петербург, Василеостровский район, Невская губа",11850000,35.0,14.5,12.5,1,4,19,empty,empty,2025,monolith,empty,without,empty,30.1826923147481,59.9429282832316,2,2,"Приморская,Горный институт,Василеостровская","6,9,10","transport,transport,transport","Морской,Василеостровский",0,1
spb,"Санкт-Петербург, проспект Юрия Гагарина",21097980,75.62,22.3,29.5,2,14,23,empty,0,2025,monolithBrick,empty,empty,empty,30.342415701079,59.8515188652706,empty,empty,,,,"Гагаринское,Московский",0,0
spb,"Санкт-Петербург, Большая Морская ул., д. 4",80000000,107.2,25.6,63.7,3,2,7,2006,empty,empty,monolith,underground,empty,empty,30.318258,59.937463,1,empty,Адмиралтейская,4,walk,"Дворцовый,Центральный",0,1
spb,"Санкт-Петербург, проспект Юрия Гагарина",20543580,74.84,21.5,29.5,2,16,23,empty,0,2025,monolithBrick,empty,empty,empty,30.342415701079,59.8515188652706,empty,empty,,,,"Гагаринское,Московский",0,0
spb,"2-я Березовая ал., 13-15",160000000,125.0,16.0,12.0,3,3,3,2004,empty,empty,monolithBrick,empty,empty,empty,30.288407,59.980492,empty,empty,,,,"Чкаловское,Петроградский",0,1
spb,"Санкт-Петербург, проспект Юрия Гагарина",23947200,83.15,25.6,37.4,2,15,23,empty,0,2025,monolithBrick,empty,empty,empty,30.342415701079,59.8515188652706,empty,empty,,,,"Гагаринское,Московский",0,0
spb,"Санкт-Петербург, территория Усть-Славянка, Славянская улица, 8",11400000,51.3,13.7,23.4,2,23,23,2023,empty,empty,monolithBrick,underground,empty,1,30.526146,59.833176,2,1,Рыбацкое,15,walk,"Рыбацкое,Невский",0,1
spb,"Санкт-Петербург, Заневский проспект, 65А",13129999,43.1,13.6,23.2,2,4,15,empty,0,2024,empty,empty,fine,empty,30.43423666997013,59.93209710600549,empty,empty,,,,"Малая Охта,Красногвардейский",1,0
spb,"Россия, Санкт-Петербург, Земледельческая улица, 5к2",9100000,38.1,11.1,15.5,1,13,21,2010,empty,empty,monolithBrick,underground,empty,empty,30.324447,59.990665,3,empty,"Черная речка,Лесная,Выборгская","20,20,6","walk,walk,transport","Чёрная речка,Приморский",0,1
spb,"Санкт-Петербург, Пулковское шоссе",6114825,35.29,empty,empty,1,3,5,empty,0,2025,monolith,empty,fine,empty,30.3051918411248,59.7474489641058,empty,1,"Купчино,Проспект Славы,Обухово","29,29,30","transport,transport,transport","Пулковский меридиан,Московский",0,0
spb,"Санкт-Петербург, проспект Авиаконструкторов, 54",10800000,37.3,10.2,14.5,1,12,12,2022,empty,empty,monolithBrick,underground,empty,empty,30.204863,60.033602,1,1,"Комендантский проспект,Старая Деревня,Удельная","9,14,14","transport,transport,transport","Юнтолово,Приморский",0,1
spb,"Санкт-Петербург, 11-я линия Васильевского острова, 56",22733515,65.36,23.1,20.6,1,6,7,empty,0,2023,monolithBrick,empty,empty,empty,30.2694300687856,59.9443172673353,empty,1,"Василеостровская,Спортивная,Горный институт","8,14,4","walk,walk,transport","Васильевский,Василеостровский",0,0
spb,"Россия, Санкт-Петербург, Малая Зеленина улица, 8",39000000,142.6,15.0,75.0,3,6,9,2021,empty,empty,monolith,underground,empty,1,30.279693,59.963543,1,1,"Чкаловская,Крестовский остров,Спортивная","11,3,4","walk,transport,transport","Чкаловское,Петроградский",0,1
spb,"Санкт-Петербург, 11-я линия Васильевского острова, 56",21061933,65.36,23.1,20.6,2,2,7,empty,0,2023,monolithBrick,empty,empty,empty,30.2694300687856,59.9443172673353,empty,1,"Василеостровская,Спортивная,Горный институт","8,14,4","walk,walk,transport","Васильевский,Василеостровский",0,0
spb,"Россия, Санкт-Петербург, Комендантский проспект, 17к1",10000000,44.0,13.0,17.0,1,10,16,2005,empty,empty,monolithBrick,ground,empty,1,30.255672,60.012413,2,1,"Комендантский проспект,Старая Деревня,Пионерская","4,6,7","walk,transport,transport","Озеро Долгое,Приморский",0,1
spb,"Санкт-Петербург, Заневский проспект",13079999,34.16,13.4,12.3,1,11,14,empty,0,2024,empty,empty,empty,empty,30.4342202421,59.9310787561,empty,empty,,,,"Малая Охта,Красногвардейский",0,0
spb,"Санкт-Петербург, Дрезденская ул., 4 лит. Б",9690000,48.4,7.8,26.9,2,3,5,1956,empty,empty,stalin,empty,empty,0,30.325974,60.013231,0,0,Удельная,10,walk,"Светлановское,Выборгский",0,1
spb,"Санкт-Петербург, Большой Сампсониевский проспект, 32кА-Б",16151784,42.46,empty,13.2,1,4,12,empty,0,2026,empty,empty,empty,empty,30.3398229933605,59.9667986652653,empty,empty,"Выборгская,Площадь Ленина,Лесная","11,3,6","walk,transport,transport","Сампсониевское,Выборгский",0,0
spb,"Санкт-Петербург, Петроградский район, Большая Посадская ул., д.12, литер А",34500000,95.0,12.0,59.0,3,6,9,2015,empty,empty,monolithBrick,empty,empty,1,30.32504,59.959197,2,empty,"Горьковская,Петроградская,Спортивная","8,17,5","walk,walk,transport","Посадский,Петроградский",empty,1
