region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,isСomplete,complitation_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
msk,"Москва, Большой Толмачёвский переулок",1996610000,459.4,81.4,173.3,5,7,8,,0,2024,monolith,underground,,4,37.6209487934,55.7397567995,1,1,"Полянка,Новокузнецкая,Третьяковская","6,10,4","walk,walk,transport","Якиманка,ЦАО",0,0
msk,"Москва, Самотечная ул., 5",66970000,160.0,25.0,119.0,3,3,9,1892,,,brick,underground,,0,37.618318,55.775165,1,1,"Цветной бульвар,Достоевская,Сухаревская","6,9,13","walk,walk,walk","Тверской,ЦАО",,1
msk,"Москва, Ильинка",378820000,157.4,41.1,50.7,3,3,5,,0,2024,monolith,,,,37.6236486957695,55.7551404921083,,,"Площадь Революции,Театральная","3,6","walk,walk","Тверской,ЦАО",0,0
msk,"Москва, М. Бронная ул., 32",110500000,110.5,15.0,61.0,3,2,6,1912,,,brick,ground,,0,37.593524,55.764197,1,0,"Маяковская,Пушкинская,Тверская","10,10,10","walk,walk,walk","Пресненский,ЦАО",,1
msk,"Москва, Ильинка",1031300000,271.8,57.1,123.8,5,5,5,,0,2024,monolith,,,,37.6235092209009,55.7552009954911,,,"Площадь Революции,Театральная","3,6","walk,walk","Тверской,ЦАО",0,0
msk,"Россия, Москва, Московский международный деловой центр Москва-Сити тер., многофункциональный комплекс Око",480765635,294.6,,,4,80,85,,,,monolith,underground,,,37.534325,55.749765,4,1,"Деловой центр,Международная,Деловой центр","3,3,4","walk,walk,walk","Пресненский,ЦАО",1,1
msk,"Москва, Ленинский проспект, 2",307420600,194.57,86.2,103.4,3,7,9,,0,2024,monolithBrick,,fine,,37.6112535068,55.7296107565,,,"Октябрьская,Добрынинская,Полянка","2,11,13","walk,walk,walk","Якиманка,ЦАО",1,0
msk,"Россия, Москва, Краснопролетарская улица, 7",125000000,234.8,22.5,128.5,6,3,9,1999,,,monolith,underground,,1,37.60726,55.774988,2,2,"Новослободская,Достоевская,Маяковская","10,12,13","walk,walk,walk","Тверской,ЦАО",0,1
msk,"Москва, 3-й Обыденский переулок",2147483647,428.5,168.7,136.7,5,6,6,,0,2026,monolith,underground,,0,37.6042283644176,55.742005340258,1,1,"Кропоткинская,Парк Культуры,Библиотека им. Ленина","5,13,16","walk,walk,walk","Хамовники,ЦАО",0,0
msk,"Москва, Ефремова улица, 10с1к4/4",725300799,303.0,71.0,,5,12,12,,,,monolithBrick,multilevel,,,37.574049,55.724951,,,"Фрунзенская,Спортивная,Парк Культуры","6,11,3","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, Софийская набережная, 36",109213650,127.0,,,3,3,7,,1,2022,,,,,37.623959,55.747611,4,4,"Новокузнецкая,Третьяковская,Китай-город","11,11,15","walk,walk,walk","Якиманка,ЦАО",1,0
msk,"Россия, Москва, 2-й Неопалимовский переулок, 3",158220000,87.9,,,2,4,9,2023,,,,,,0,37.582493,55.73925,0,0,"Парк Культуры,Смоленская,Киевская","10,14,16","walk,walk,walk","Хамовники,ЦАО",,1
msk,"Москва, Софийская набережная, 10Д",750000000,251.8,,,4,4,4,,1,2021,monolith,,,,37.6163794106954,55.7464027193368,,,"Боровицкая,Александровский сад,Библиотека им. Ленина","13,14,15","walk,walk,walk","Якиманка,ЦАО",0,0
msk,"Москва, Колымажный переулок, 10",290000000,200.9,17.0,110.0,4,4,7,2006,,,monolithBrick,underground,,0,37.604403,55.748199,1,0,"Кропоткинская,Александровский сад,Арбатская","5,7,7","walk,walk,walk","Хамовники,ЦАО",,1
msk,"Москва, 1-я Тверская-Ямская улица, 2",85974000,62.3,23.7,,2,8,9,,1,2022,monolith,underground,fine,,37.5948676266339,55.7710883704405,,,"Маяковская,Тверская,Пушкинская","1,10,11","walk,walk,walk","Тверской,ЦАО",1,0
msk,"Россия, Москва, 2-й Неопалимовский переулок, 3",195840000,108.8,,,3,4,9,2023,,,,,,0,37.582493,55.73925,0,0,"Парк Культуры,Смоленская,Киевская","10,14,16","walk,walk,walk","Хамовники,ЦАО",,1
msk,"Москва, Большой Толмачёвский переулок",156750000,85.6,15.5,34.6,2,2,14,,0,2024,monolith,underground,,1,37.6199132843774,55.7394739631991,1,1,"Новокузнецкая,Полянка,Третьяковская","10,2,4","walk,transport,transport","Якиманка,ЦАО",0,0
msk,"Москва, Ленинградский проспект, 37/6",125000000,135.3,,,,37,37,2021,,,monolith,,,,37.542213,55.794173,,,"Аэропорт,ЦСКА,Динамо","12,13,15","walk,walk,walk","Хорошевский,САО",0,1
msk,"Москва, Лужнецкая набережная",52569000,49.8,,27.9,2,9,17,,0,2026,monolith,multilevel,without,,37.5711844656955,55.715275061735,1,1,"Воробьёвы горы,Лужники,Спортивная","12,18,20","walk,walk,walk","Хамовники,ЦАО",0,0
msk,"Москва, Усачева улица, 15А, квартал 2(2.5)",99000000,90.4,14.0,39.0,2,5,12,,,,monolithBrick,multilevel,,,37.570276,55.7256,,,"Спортивная,Фрунзенская,Парк Культуры","6,11,4","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, Поклонная улица, 9",48858726,51.2,,30.9,2,28,34,,0,2023,monolith,underground,fine,,37.525324,55.734334,1,1,"Кутузовская,Парк Победы","14,17","walk,walk","Дорогомилово,ЗАО",1,0
msk,"Москва, улица 3-я Ямского Поля, 9",265000000,370.0,,,5,5,6,,,,,,,,37.580894,55.781626,,,Белорусская,5,walk,"Беговой,САО",1,1
msk,"Москва, Ленинский проспект, 2",66462500,53.17,32.4,15.8,1,2,9,,0,2024,monolithBrick,,fine,,37.61125350678,55.7296107564818,,,"Октябрьская,Добрынинская,Полянка","2,11,13","walk,walk,walk","Якиманка,ЦАО",1,0
msk,"Москва, Трубецкая ул., д. 10",750000000,298.93,20.0,,6,4,12,2013,,,,underground,,1,37.575783,55.727323,1,,"Фрунзенская,Спортивная","6,11","walk,walk","Хамовники,ЦАО",0,1
